round,jump,reference_size,reference_objective_before,reference_objective_after,objective_change,gradient_sq_norm,gradient_norm,coordinate_events,aggregate_nonzeros,aggregate_l1,aggregate_energy,event_energy_ratio,cancellation_fraction,descent_mass,harmful_mass,net_alignment,inner_product_alignment,alignment_identity_error,alignment_ratio,harmful_share,first_order_change,curvature_remainder,objective_decreased,net_alignment_positive,update_reconstruction_error,ideal_local_mass,memory_opposition_penalty,local_drift_term,heterogeneity_term,silent_local_mass,event_local_mass_fraction,decomposition_alignment,decomposition_identity_error,kappa_gradient_sq,defect,coverage_deficit,memory_penalty,drift_penalty,heterogeneity_penalty,defect_upper_bound,defect_bound_slack,regime,local_steps,partition_seed,train_seed
1.0,0.0049950273089797,60000.0,2.3051766322135925,2.3051766322135925,0.0,0.612396823706262,0.7825578724326157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.5457527501387,0.0,0.0,0.0,4.899174589650096,4.899174589650096,4.899174589650096,0.0,0.0,0.0,4.899174589650096,0.0,iid,1,2500,72500
5.0,0.0049756643332495,60000.0,2.3052116131782534,2.305241848373413,3.023519515954476e-05,0.6130818787388416,0.7829954525658763,3.0,3.0,3.0,3.0,0.1,0.0,0.0012736735446097,0.0068209401797503,-0.0055472666351406,-0.0055472666351406,0.0,-0.0090481660403203,0.8426517202696516,2.7601336743494264e-05,2.6338584160504957e-06,0.0,0.0,0.0,0.3530639223754406,0.0,-0.3587487084259919,0.0001375194154107,1420.6036614246475,0.0002484691588965,-0.0055472666351406,0.0,4.9046550299107325,4.910202296545873,4.551591107535292,0.0,0.3587487084259919,0.0,4.910339815961284,0.0001375194154107,iid,1,2500,72500
10.0,0.0049525712910726,60000.0,2.3039549266815182,2.3025139301300053,-0.0014409965515129,0.6175248803453555,0.7858275131002703,15.0,10.0,15.0,29.0,0.1933333333333333,0.0,0.2917340338226495,0.0,0.2917340338226495,0.2917340338226495,0.0,0.4724247445050231,0.0,-0.0014448336005388,3.837049025885372e-06,1.0,1.0,0.0,0.5012986063957214,0.0,-0.2085312610724941,-0.0010333115005778,1392.3319083532397,0.0003599128767829,0.2917340338226495,0.0,4.940199042762844,4.648465008940194,4.438900436367122,0.0,0.2085312610724941,0.0010333115005778,4.648465008940194,0.0,iid,1,2500,72500
15.0,0.004930605096731,60000.0,2.2698910815238955,2.248502857923508,-0.0213882236003875,0.5667976869209166,0.7528596727949483,331.0,227.0,331.0,631.0,0.1906344410876133,0.0,4.582044579379726,0.0016815381677588,4.580363041211967,4.580363041211967,0.0,8.081125147306839,0.0003668496163681,-0.0225839613558781,0.0011957377554906,1.0,1.0,1.862645149230957e-09,5.492271066177636,0.0,-0.9025039304979146,-0.0094040944677544,1331.7055729528215,0.0041072987746303,4.580363041211967,0.0,4.534381495367333,0.0,0.0,0.0,0.9025039304979146,0.0094040944677544,0.911908024965669,0.911908024965669,iid,1,2500,72500
20.0,0.0049096652228095,60000.0,2.160985339212417,2.140027273416519,-0.0209580657958983,0.4314497452973559,0.6568483426920981,469.0,321.0,469.0,901.0,0.1921108742004264,0.0,4.435391833186941,0.018807471380569,4.416584361806372,4.416584361806372,0.0,10.236613672729032,0.0042224135236344,-0.0216839506447653,0.0007258848488669,1.0,1.0,0.0,6.563806793128606,0.0,-2.135544939956162,-0.0116774913660719,1171.3370889575808,0.0055724609912494,4.416584361806372,0.0,3.4515979623788478,0.0,0.0,0.0,2.135544939956162,0.0116774913660719,2.147222431322234,2.147222431322234,iid,1,2500,72500
25.0,0.0048896638427146,60000.0,2.03842651553154,2.0114441904067992,-0.0269823251247407,0.545285338670563,0.7384343834563522,598.0,455.0,598.0,956.0,0.1598662207357859,0.0,5.630953711537135,0.0153325276626219,5.615621183874513,5.615621183874513,0.0,10.298500226625787,0.002715506620294,-0.0274584998571736,0.0004761747324328,1.0,1.0,0.0,8.484378960274626,0.0,-2.8540376133896643,-0.0147201630104483,1207.3779925860754,0.0069780751167453,5.615621183874513,0.0,4.362282709364504,0.0,0.0,0.0,2.8540376133896643,0.0147201630104483,2.8687577764001126,2.8687577764001126,iid,1,2500,72500
30.0,0.0048705237912742,60000.0,1.8971494157791144,1.867930555438996,-0.0292188603401184,0.5065515395058003,0.7117243423586131,686.0,543.0,686.0,1044.0,0.1521865889212828,0.0,6.166328780119784,0.0163870135299077,6.149941766589876,6.149941766589876,0.0,12.14080164989698,0.0026504555727337,-0.0299534376891273,0.0007345773490088,1.0,1.0,0.0,10.9662325627869,0.0,-4.794694066114971,-0.0215967300820523,1171.8356937364117,0.0092714023531382,6.149941766589876,0.0,4.052412316046403,0.0,0.0,0.0,4.794694066114971,0.0215967300820523,4.816290796197023,4.816290796197023,iid,1,2500,72500
35.0,0.0048521769173698,60000.0,1.742568014907837,1.7146517435073856,-0.0279162714004514,0.4233273516811521,0.6506361131086654,650.0,513.0,650.0,1008.0,0.155076923076923,0.0,5.945386251575599,0.0226846612374629,5.922701590338136,5.922701590338136,0.0,13.99083136683094,0.0038010039707739,-0.0287379959451081,0.0008217245446566,1.0,1.0,0.0,10.44490282132756,0.0,-4.505917108988797,-0.0162841220006271,1040.752414931262,0.0099361962258981,5.922701590338136,0.0,3.386618813449217,0.0,0.0,0.0,4.505917108988797,0.0162841220006271,4.522201230989424,4.522201230989424,iid,1,2500,72500
40.0,0.0048345627417287,60000.0,1.598044681167603,1.5731101360321045,-0.0249345451354985,0.24516607783073,0.4951424823530395,714.0,603.0,714.0,984.0,0.1378151260504201,0.0,5.334515123409517,0.0404348682691804,5.2940802551403365,5.2940802551403365,0.0,21.59385304028695,0.0075228361811328,-0.0255945631532232,0.0006600180177247,1.0,1.0,0.0,11.35798477465869,0.0,-6.024147109357728,-0.0397574101606252,954.6400855558886,0.0117577717011092,5.2940802551403365,0.0,1.96132862264584,0.0,0.0,0.0,6.024147109357728,0.0397574101606252,6.063904519518353,6.063904519518353,iid,1,2500,72500
45.0,0.0048176273546297,60000.0,1.4872808928489685,1.4688329439163208,-0.0184479489326476,0.1931662408471778,0.4395068154729546,606.0,531.0,606.0,778.0,0.1283828382838283,0.0,3.9636051397451695,0.0201893104040493,3.94341582934112,3.94341582934112,0.0,20.41462220337417,0.0050678594633046,-0.0189979079701137,0.000549959037466,1.0,1.0,0.0,9.49058052879991,0.0,-5.527617275050943,-0.0195474244078468,926.9324483435912,0.0101349285912245,3.94341582934112,0.0,1.5453299267774228,0.0,0.0,0.0,5.527617275050943,0.0195474244078468,5.54716469945879,5.54716469945879,iid,1,2500,72500
